exchange_date,EUR,USD,GBP
2026-06-04,1.0,1.0828,0.8513
2026-06-05,1.0,1.1732,0.8391
2026-06-06,1.0,1.1203,0.9038
2026-06-07,1.0,1.0939,0.8597
2026-06-08,1.0,1.0565,0.934
2026-06-09,1.0,1.1834,0.8514
2026-06-10,1.0,1.194,0.8621
2026-06-11,1.0,1.1454,0.905
2026-06-12,1.0,1.0866,0.9215
2026-06-13,1.0,1.1009,0.8411
2026-06-14,1.0,1.1424,0.9345
2026-06-15,1.0,1.0893,0.9062
2026-06-16,1.0,1.1968,0.8252
2026-06-17,1.0,1.0526,0.9101
2026-06-18,1.0,1.1204,0.8282
2026-06-19,1.0,1.0968,0.872
2026-06-20,1.0,1.1582,0.8352
2026-06-21,1.0,1.1577,0.928
2026-06-22,1.0,1.1905,0.9415
2026-06-23,1.0,1.0963,0.8362
2026-06-24,1.0,1.0833,0.8841
2026-06-25,1.0,1.1866,0.8539
2026-06-26,1.0,1.1495,0.8552
2026-06-27,1.0,1.1334,0.8414
2026-06-28,1.0,1.062,0.828
2026-06-29,1.0,1.1806,0.9295
2026-06-30,1.0,1.1284,0.8295
2026-07-01,1.0,1.1106,0.8682
2026-07-02,1.0,1.172,0.8836
2026-07-03,1.0,1.1466,0.8227
2026-07-04,1.0,1.1115,0.8946
2026-07-05,1.0,1.0791,0.8336
2026-07-06,1.0,1.0695,0.9202
2026-07-07,1.0,1.0983,0.9152
2026-07-08,1.0,1.0747,0.8729
2026-07-09,1.0,1.1613,0.8257
2026-07-10,1.0,1.0521,0.8758
2026-07-11,1.0,1.0507,0.9021
2026-07-12,1.0,1.134,0.9375
2026-07-13,1.0,1.0796,0.8944
2026-07-14,1.0,1.1898,0.8884
2026-07-15,1.0,1.1974,0.8544
2026-07-16,1.0,1.0758,0.8704
2026-07-17,1.0,1.101,0.8782
2026-07-18,1.0,1.1144,0.8788
2026-07-19,1.0,1.1216,0.8922
2026-07-20,1.0,1.051,0.9326
2026-07-21,1.0,1.146,0.8437
2026-07-22,1.0,1.1162,0.8901
2026-07-23,1.0,1.1949,0.8633
2026-07-24,1.0,1.1961,0.8416
2026-07-25,1.0,1.1896,0.8445
2026-07-26,1.0,1.0821,0.8204
2026-07-27,1.0,1.1038,0.8902
2026-07-28,1.0,1.1711,0.9035
2026-07-29,1.0,1.1509,0.9454
2026-07-30,1.0,1.0788,0.8978
2026-07-31,1.0,1.1535,0.8742
2026-08-01,1.0,1.1878,0.9035
